overs,score,Batsman,Non-Strike Batsman,Bowler,Runs
0.0,0/0,DA Warner,S Dhawan,YS Chahal,six!!
0.1,6/0,DA Warner,S Dhawan,YS Chahal,no runs
0.2,6/0,DA Warner,S Dhawan,YS Chahal,single
0.3,7/0,S Dhawan,DA Warner,YS Chahal,no runs
0.4,7/0,S Dhawan,DA Warner,YS Chahal,no runs
0.5,7/0,S Dhawan,DA Warner,YS Chahal,single
1.0,8/0,S Dhawan,DA Warner,AF Milne,three runs
1.1,11/0,DA Warner,S Dhawan,AF Milne,six!!
1.2,17/0,DA Warner,S Dhawan,AF Milne,no runs
1.3,17/0,DA Warner,S Dhawan,AF Milne,four runs!
1.4,21/0,DA Warner,S Dhawan,AF Milne,double
1.5,23/0,DA Warner,S Dhawan,AF Milne,no runs
2.0,23/0,S Dhawan,DA Warner,HV Patel,no runs
2.1,23/0,S Dhawan,DA Warner,HV Patel,four runs!
2.2,27/0,S Dhawan,DA Warner,HV Patel,single
2.3,28/0,DA Warner,S Dhawan,HV Patel,double
2.4,30/0,DA Warner,S Dhawan,HV Patel,no runs
2.5,30/0,DA Warner,S Dhawan,HV Patel,single
3.0,31/0,DA Warner,S Dhawan,Parvez Rasool,double
3.1,33/0,DA Warner,S Dhawan,Parvez Rasool,no runs
3.2,33/0,DA Warner,S Dhawan,Parvez Rasool,four runs!
3.3,37/0,DA Warner,S Dhawan,Parvez Rasool,no runs
3.4,37/0,DA Warner,S Dhawan,Parvez Rasool,six!!
3.5,43/0,DA Warner,S Dhawan,Parvez Rasool,single
4.0,44/0,DA Warner,S Dhawan,STR Binny,single
4.1,45/0,S Dhawan,DA Warner,STR Binny,no runs
4.2,45/0,S Dhawan,DA Warner,STR Binny,no runs
4.3,45/0,S Dhawan,DA Warner,STR Binny,single
4.4,46/0,DA Warner,S Dhawan,STR Binny,no runs
4.5,46/0,DA Warner,S Dhawan,STR Binny,six!!
5.0,52/0,S Dhawan,DA Warner,YS Chahal,single
5.1,53/0,DA Warner,S Dhawan,YS Chahal,single
5.2,54/0,S Dhawan,DA Warner,YS Chahal,single
5.3,55/0,DA Warner,S Dhawan,YS Chahal,no runs
5.4,55/0,DA Warner,S Dhawan,YS Chahal,single
5.5,56/0,S Dhawan,DA Warner,YS Chahal,four runs!
6.0,60/0,DA Warner,S Dhawan,AF Milne,four runs!
6.1,64/0,DA Warner,S Dhawan,AF Milne,single
6.2,65/0,S Dhawan,DA Warner,AF Milne,no runs
6.3,65/0,S Dhawan,DA Warner,AF Milne,single
6.4,66/0,DA Warner,S Dhawan,AF Milne,six!!
6.5,72/0,DA Warner,S Dhawan,AF Milne,no runs
7.0,72/0,S Dhawan,DA Warner,HV Patel,four runs!
7.1,76/0,S Dhawan,DA Warner,HV Patel,four runs!
7.2,80/0,S Dhawan,DA Warner,HV Patel,out
7.3,80/1,MC Henriques,DA Warner,HV Patel,single
7.4,81/1,DA Warner,MC Henriques,HV Patel,single
7.5,82/1,MC Henriques,DA Warner,HV Patel,no runs
8.0,82/1,DA Warner,MC Henriques,Parvez Rasool,single
8.1,83/1,MC Henriques,DA Warner,Parvez Rasool,single
8.2,84/1,DA Warner,MC Henriques,Parvez Rasool,no runs
8.3,84/1,DA Warner,MC Henriques,Parvez Rasool,out
8.4,84/2,NV Ojha,MC Henriques,Parvez Rasool,single
8.5,85/2,MC Henriques,NV Ojha,Parvez Rasool,no runs
9.0,85/2,NV Ojha,MC Henriques,STR Binny,single
9.1,86/2,MC Henriques,NV Ojha,STR Binny,double
9.2,88/2,MC Henriques,NV Ojha,STR Binny,six!!
9.3,94/2,MC Henriques,NV Ojha,STR Binny,single
9.4,95/2,NV Ojha,MC Henriques,STR Binny,single
9.5,96/2,MC Henriques,NV Ojha,STR Binny,no runs
10.0,96/2,NV Ojha,MC Henriques,YS Chahal,four runs!
10.1,100/2,NV Ojha,MC Henriques,YS Chahal,no runs
10.2,100/2,NV Ojha,MC Henriques,YS Chahal,six!!
10.3,106/2,NV Ojha,MC Henriques,YS Chahal,single
10.4,107/2,MC Henriques,NV Ojha,YS Chahal,six!!
10.5,113/2,MC Henriques,NV Ojha,YS Chahal,out
11.0,113/3,NV Ojha,DJ Hooda,AF Milne,four runs!
11.1,117/3,NV Ojha,DJ Hooda,AF Milne,extra
11.1,118/3,NV Ojha,DJ Hooda,AF Milne,single
11.2,119/3,DJ Hooda,NV Ojha,AF Milne,single
11.3,120/3,NV Ojha,DJ Hooda,AF Milne,four runs!
11.4,124/3,NV Ojha,DJ Hooda,AF Milne,no runs
11.5,124/3,NV Ojha,DJ Hooda,AF Milne,single
12.0,125/3,NV Ojha,DJ Hooda,HV Patel,out
12.1,125/4,EJG Morgan,DJ Hooda,HV Patel,single
12.2,126/4,DJ Hooda,EJG Morgan,HV Patel,single
12.3,127/4,EJG Morgan,DJ Hooda,HV Patel,single
12.4,128/4,DJ Hooda,EJG Morgan,HV Patel,no runs
12.5,128/4,DJ Hooda,EJG Morgan,HV Patel,no runs
13.0,128/4,EJG Morgan,DJ Hooda,Parvez Rasool,single
13.1,129/4,DJ Hooda,EJG Morgan,Parvez Rasool,single
13.2,130/4,EJG Morgan,DJ Hooda,Parvez Rasool,no runs
13.3,130/4,EJG Morgan,DJ Hooda,Parvez Rasool,single
13.4,131/4,DJ Hooda,EJG Morgan,Parvez Rasool,single
13.5,132/4,EJG Morgan,DJ Hooda,Parvez Rasool,four runs!
14.0,136/4,DJ Hooda,EJG Morgan,STR Binny,no runs
14.1,136/4,DJ Hooda,EJG Morgan,STR Binny,four runs!
14.2,140/4,DJ Hooda,EJG Morgan,STR Binny,extra
